time,longitudinal_acceleration,latitudinal_acceleration,Gforce_lateral_acceleration,Gforce_acceleration_deceleration
0,-0.1236,-0.0283,0.026622,-0.03204
0.05,-0.0434,-0.151,0.019967,-0.037099
0.1,0.2342,-0.2542,0.028286,-0.03204
0.15,0.4546,0.0794,0.033278,-0.030354
0.2,0.3918,0.4544,0.023295,-0.033727
0.25,0.2056,0.4607,0.02995,-0.037099
0.3,0.0072,0.4891,0.02995,-0.040472
0.35,-0.1625,0.5443,0.026622,-0.033727
0.4,-0.1204,-2.0191,0.023295,-0.037099
0.45,-0.1585,-2.9802,0.031614,-0.03204
0.5,-0.189,1.0516,0.031614,-0.03204
0.55,0.2426,1.9191,0.024958,-0.03204
0.6,0.4362,0.3147,0.023295,-0.035413
0.65,0.2832,0.3093,0.028286,-0.037099
0.7,0.2103,0.3527,0.02995,-0.03204
0.75,0.0973,0.4641,0.033278,-0.042159
0.8,-0.0335,0.5604,0.026622,-0.03204
0.85,-0.0938,0.5064,0.024958,-0.035413
0.9,0.3415,-1.976,0.023295,-0.030354
0.95,0.3419,-3.008,0.026622,-0.038786
1,-0.4044,0.8262,0.034942,-0.033727
1.05,-0.1748,1.9012,0.026622,-0.035413
1.1,0.2938,0.4653,0.024958,-0.033727
1.15,0.2097,0.3718,0.023295,-0.033727
1.2,0.2015,0.2989,0.026622,-0.038786
1.25,0.1774,0.3089,0.031614,-0.03204
1.3,0.0701,0.4217,0.031614,-0.03204
1.35,-0.034,0.5045,0.026622,-0.035413
1.4,-2.5856,-1.7646,0.023295,-0.037099
1.45,-2.8985,-2.8322,0.024958,-0.033727
1.5,1.9373,0.552,0.026622,-0.037099
1.55,2.4475,1.5132,0.033278,-0.03204
1.6,0.2884,0.4067,0.02995,-0.03204
1.65,0.1904,0.52,0.026622,-0.035413
1.7,0.1368,0.4587,0.021631,-0.033727
1.75,0.1453,0.343,0.026622,-0.037099
1.8,0.1431,0.3293,0.028286,-0.040472
1.85,0.0644,0.4196,0.033278,-0.037099
1.9,-2.1019,-1.6914,0.026622,-0.040472
1.95,-2.5244,-2.3231,0.026622,-0.042159
2,1.1931,1.4666,0.026622,-0.067454
2.05,1.4871,2.2028,0.033278,-0.074199
2.1,-0.4015,0.6841,0.031614,-0.077572
2.15,-0.5406,0.6437,0.028286,-0.082631
2.2,-0.5313,0.6087,0.02995,-0.092749
2.25,-0.6007,0.6019,0.031614,-0.10118
2.3,-0.7383,0.5762,0.028286,-0.104553
2.35,-0.7352,0.5982,0.024958,-0.112985
2.4,2.7331,-7.8288,0.031614,-0.111298
2.45,4.0545,-9.5899,0.034942,-0.112985
2.5,-1.562,5.6556,0.02995,-0.114671
2.55,-3.149,7.3433,0.028286,-0.112985
2.6,-1.1623,0.2701,0.02995,-0.118044
2.65,-1.0961,-0.0332,0.02995,-0.112985
2.7,-1.0589,-0.169,0.02995,-0.121417
2.75,-1.0278,-0.1952,0.028286,-0.116358
2.8,-0.9767,-0.2116,0.034942,-0.109612
2.85,-0.9269,-0.3748,0.031614,-0.109612
2.9,-1.5438,9.2059,0.026622,-0.097808
2.95,-0.1457,10.7581,0.021631,-0.089376
3,2.6346,-6.843,0.019967,-0.086003
3.05,1.3992,-7.9865,0.026622,-0.070826
3.1,-0.5814,0.2345,0.021631,-0.052277
3.15,-0.474,0.1327,0.021631,-0.033727
3.2,-0.2934,0.1007,0.023295,-0.01855
3.25,-0.1849,0.0531,0.028286,-0.013491
3.3,-0.1502,0.049,0.031614,-0.025295
3.35,-0.2296,-0.0023,0.041597,-0.020236
3.4,-6.8983,6.7052,0.034942,-0.021922
3.45,-6.9712,7.5624,0.023295,-0.023609
3.5,6.1839,-5.0885,0.016639,-0.028668
3.55,6.3517,-5.7371,0.031614,-0.055649
3.6,-0.3268,0.2685,0.03827,-0.067454
3.65,-0.7601,0.154,0.034942,-0.11973
3.7,-1.0171,0.3027,0.019967,-0.148398
3.75,-0.9605,0.7819,0.028286,-0.193929
3.8,-1.1042,1.1049,0.046589,-0.241147
3.85,-1.6502,1.0809,0.048253,-0.288364
3.9,0.8995,-0.7955,0.043261,-0.323777
3.95,3.3933,-2.1116,0.034942,-0.352445
4,0.0214,0.4274,0.026622,-0.362563
4.05,-2.5922,2.1786,0.026622,-0.355818
4.1,-2.2386,1.8332,0.02995,-0.354132
4.15,-2.2553,1.728,0.024958,-0.335582
4.2,-2.1201,1.71,0.026622,-0.322091
4.25,-1.9652,1.5054,0.034942,-0.244519
4.3,-1.739,1.0356,0.021631,-0.172007
4.35,-1.3749,0.5689,0.023295,-0.107926
4.4,-9.786,11.4048,0,-0.107926
4.45,-8.4765,11.528,-0.003497,-0.141653
4.5,10.0342,-10.3655,0.018303,-0.198988
4.55,8.7179,-10.0393,0.02995,-0.232715
4.6,-1.382,1.1604,0.033278,-0.229342
4.65,-1.5384,0.9789,0.028286,-0.193929
4.7,-1.5273,0.6547,0.023295,-0.155143
4.75,-1.2806,0.5684,-0.003497,-0.151771
4.8,-0.8897,0.932,0.016639,-0.180438
4.85,-0.9777,1.0847,0.021631,-0.210793
4.9,-15.7272,16.1642,0.021631,-0.217538
4.95,-15.33,16.5496,0.028286,-0.198988
5,14.0506,-13.4139,0.024958,-0.183811
5.05,13.6886,-13.8996,0.023295,-0.158516
5.1,-1.0915,0.7221,0.023295,-0.136594
5.15,-1.0344,0.6044,0.018303,-0.145025
5.2,-1.0935,0.467,0.014975,-0.124789
5.25,-1.0347,0.4277,-0.006993,-0.123103
5.3,-0.6387,0.7979,0,-0.133221
5.35,-0.4911,0.9605,0.024958,-0.118044
5.4,-12.2459,12.6904,0.016639,-0.104553
5.45,-12.0268,13.23,-0.006993,-0.104553
5.5,11.4617,-10.0866,-0.003497,-0.094435
5.55,11.3884,-10.6477,0.009983,-0.10118
5.6,-0.458,0.7001,0.016639,-0.112985
5.65,-0.7388,0.5245,0.016639,-0.114671
5.7,-0.8024,0.5114,0.003328,-0.116358
5.75,-0.7326,0.5763,0.014975,-0.111298
5.8,-0.6406,0.6532,-0.001748,-0.116358
5.85,-0.407,0.8934,0.026622,-0.118044
5.9,-6.6608,6.8177,0.036606,-0.111298
5.95,-6.4126,6.4783,0.031614,-0.104553
6,6.3917,-5.6703,-0.015734,-0.099494
6.05,5.8761,-5.6924,-0.031469,-0.094435
6.1,-0.3298,0.6216,-0.052448,-0.052277
6.15,0.3528,0.9927,-0.006993,-0.05059
6.2,-0.1239,0.4456,0.001664,-0.052277
6.25,-0.7776,-0.0899,-0.052448,-0.06914
6.3,-0.2721,0.5001,-0.047203,-0.084317
6.35,0.1693,1.0303,-0.026224,-0.089376
6.4,-4.7526,5.5854,-0.017483,-0.096121
6.45,-4.7741,5.2975,-0.013986,-0.03204
6.5,4.4847,-4.5926,-0.012238,-0.047218
6.55,3.9692,-4.8766,-0.06993,-0.08769
6.6,0.2855,1.0934,-0.082168,-0.111298
6.65,1.4094,2.2214,0.054908,-0.096121
6.7,-0.0709,0.8151,0.058236,-0.025295
6.75,-2.6032,-1.7255,-0.006993,-0.047218
6.8,-2.4547,-1.663,-0.225524,-0.062395
6.85,1.0082,1.5313,-0.136364,-0.062395
6.9,3.0922,2.5343,-0.027972,-0.082631
6.95,1.4015,0.045,-0.033217,-0.047218
7,-0.381,-0.7685,-0.094406,-0.112985
7.05,-0.0449,0.7434,-0.01049,-0.109612
7.1,-0.2555,0.945,-0.041958,-0.111298
7.15,0.208,1.1318,-0.057692,-0.065767
7.2,1.3056,1.6767,0.071547,-0.047218
7.25,-1.368,-0.4112,0.061564,-0.104553
7.3,-4.3059,-2.4067,-0.178322,-0.131535
7.35,-1.6079,-0.1437,-0.293706,-0.074199
7.4,5.3022,1.9232,-0.143357,-0.082631
7.45,6.1616,0.7998,-0.033217,-0.086003
7.5,-0.4645,0.5835,-0.026224,-0.139966
7.55,-2.2819,1.1005,-0.057692,-0.13828
7.6,-0.1868,1.1219,-0.038462,-0.099494
7.65,0.0133,1.0372,-0.034965,-0.089376
7.7,-0.2288,0.6888,-0.033217,-0.070826
7.75,-0.7233,0.3187,-0.054196,-0.099494
7.8,-1.1158,0.1747,-0.108392,-0.109612
7.85,-0.3297,0.8251,-0.148601,-0.116358
7.9,0.4324,3.7758,-0.101399,-0.109612
7.95,0.3656,2.5615,-0.118881,-0.08769
8,1.0641,-3.0575,-0.111888,-0.077572
8.05,1.7599,-1.6649,-0.064685,-0.074199
8.1,1.251,1.4617,-0.006993,-0.080944
8.15,-0.0818,0.7312,-0.006993,-0.097808
8.2,-1.0075,0.3449,-0.050699,-0.121417
8.25,-0.8202,0.6317,-0.06993,-0.134907
8.3,-0.4119,0.9449,-0.083916,-0.118044
8.35,-0.1235,1.0246,-0.094406,-0.10118
8.4,-1.953,4.461,-0.096154,-0.092749
8.45,-1.2893,3.8945,-0.103147,-0.089376
8.5,3.4261,-3.5491,-0.033217,-0.089376
8.55,2.336,-3.3095,-0.026224,-0.091062
8.6,-0.3131,0.6797,-0.082168,-0.102867
8.65,0.9226,1.3446,-0.015734,-0.08769
8.7,0.8403,1.2199,0.033278,-0.070826
8.75,-0.7588,0.29,0.009983,-0.06914
8.8,-1.1466,0.0643,-0.045455,-0.075885
8.85,-0.3295,0.5235,-0.033217,-0.084317
8.9,-2.3341,4.4799,-0.038462,-0.104553
8.95,-1.8867,4.1935,-0.027972,-0.134907
9,3.3792,-3.3494,0.003328,-0.15683
9.05,2.6488,-2.8221,0.031614,-0.175379
9.1,-0.6052,1.237,0.019967,-0.177066
9.15,-0.7404,1.2244,0.036606,-0.178752
9.2,-1.296,0.9298,0.026622,-0.165261
9.25,-1.6574,0.6735,-0.033217,-0.15683
9.3,-0.2577,1.287,-0.036713,-0.153457
9.35,0.9385,1.8193,0.053245,-0.143339
9.4,1.9023,-3.3165,0.06822,-0.15683
9.45,1.9527,-5.7643,0.093178,-0.158516
9.5,-1.0032,1.5561,0.066556,-0.192243
9.55,-2.4125,3.4668,0.041597,-0.163575
9.6,-1.319,0.9232,0.014975,-0.183811
9.65,-0.415,1.3744,0.041597,-0.172007
9.7,-0.3943,1.4032,0.076539,-0.183811
9.75,-1.083,1.1362,0.061564,-0.20742
9.8,-0.7611,1.4039,0.06822,-0.195616
9.85,-0.5582,1.4587,0.136439,-0.175379
9.9,-7.0472,10.7772,0.103161,-0.151771
9.95,-6.2171,10.1657,0.034942,-0.145025
10,5.9458,-10.2601,0.163062,-0.109612
10.05,4.9369,-9.9543,0.124792,-0.166948
10.1,-1.0468,0.8739,0.183028,-0.182125
10.15,-1.8182,0.7927,0.198003,-0.251265
10.2,-2.9119,0.5391,0.141431,-0.256324
10.25,-2.9643,0.5924,0.14975,-0.236088
10.3,-2.4764,0.7096,0.078203,-0.212479
10.35,-1.4346,1.1882,0.134775,-0.214165
10.4,-5.8615,15.1469,0.138103,-0.172007
10.45,-4.7268,14.688,0.257903,-0.163575
10.5,5.4606,-13.8876,0.231281,-0.126476
10.55,2.9645,-14.6301,0.178037,-0.161889
10.6,-3.0596,-0.3402,0.118136,-0.236088
10.65,-2.1437,0.7448,0.134775,-0.268128
10.7,-1.635,1.4705,0.139767,-0.291737
10.75,-1.7036,1.5704,0.193012,-0.274874
10.8,-2.1565,1.209,0.184692,-0.269815
10.85,-2.3784,0.9513,0.207987,-0.261383
10.9,-10.5279,16.1378,0.206323,-0.242833
10.95,-9.2761,15.5851,0.144759,-0.237774
11,8.4792,-15.3955,0.163062,-0.22597
11.05,7.4778,-14.8239,0.194676,-0.242833
11.1,-2.3008,0.6374,0.202995,-0.237774
11.15,-2.5001,0.5025,0.176373,-0.242833
11.2,-2.4957,0.3634,0.221298,-0.197302
11.25,-3.0704,-0.3237,0.14975,-0.214165
11.3,-2.6717,-0.0377,0.129784,-0.215852
11.35,-1.9866,0.5737,0.156406,-0.219224
11.4,-12.404,18.7051,0.133111,-0.220911
11.45,-10.8185,19.5834,0.209651,-0.237774
11.5,10.7708,-16.4386,0.207987,-0.244519
11.55,8.421,-17.9277,0.136439,-0.212479
11.6,-2.8039,-0.1439,0.104825,-0.202361
11.65,-1.5726,0.7161,0.121464,-0.172007
11.7,-1.3314,0.5945,0.15807,-0.121417
11.75,-1.7373,-0.1874,0.12812,-0.107926
11.8,-1.4083,0.0065,0.123128,-0.145025
11.85,-0.4827,0.8743,0.174709,-0.082631
11.9,-15.5946,17.9111,0.249584,0.007018
11.95,-16.9825,17.7784,0.234609,0.07193
12,12.5056,-16.4615,0.104825,0.035088
12.05,14.1273,-16.7148,0.069884,-0.042159
12.1,0.5479,0.9425,0.186356,-0.096121
12.15,-0.8045,0.2502,0.227953,-0.136594
12.2,-3.0759,-1.6671,0.14975,-0.129848
12.25,-2.7613,-1.561,0.049917,-0.040472
12.3,-0.5306,0.0329,0.096506,0.012281
12.35,0.1919,0.318,0.148087,-0.023609
12.4,-7.8172,8.468,0.141431,-0.037099
12.45,-8.4181,8.9016,0.166389,-0.025295
12.5,6.3611,-7.7814,0.148087,0.02807
12.55,6.784,-8.7058,0.239601,0.059649
12.6,-1.2884,-2.0894,0.168053,0.080702
12.65,-1.5627,-2.2509,0.116473,-0.047218
12.7,-0.9288,-0.6406,0.124792,-0.121417
12.75,-0.7083,0.3791,0.156406,-0.099494
12.8,-0.8883,0.1622,0.196339,-0.067454
12.85,-0.9232,-0.6633,0.189684,0.1
12.9,-3.4237,2.7422,0.211314,0.173684
12.95,-3.6703,3.0365,0.21797,0.147368
13,1.5656,-4.4725,0.222962,0.02807
13.05,1.6126,-5.1677,0.216306,0.040351
13.1,-1.012,-1.775,0.196339,0.04386
13.15,-0.6595,-1.6603,0.202995,0.117544
13.2,-0.5803,-2.1015,0.196339,0.117544
13.25,-0.6019,-2.2838,0.146423,0.080702
13.3,-0.1726,-1.3457,0.161398,0.045614
13.35,-0.1824,-0.9616,0.193012,0.029825
13.4,-0.8562,2.0569,0.168053,0.092982
13.45,-1.177,3.0307,0.141431,0.17193
13.5,-0.5684,-2.8214,0.099834,0.2
13.55,0.4755,-4.0913,0.108153,0.250877
13.6,1.0446,-1.9974,0.088186,0.285965
13.65,1.9537,-1.1806,0.083195,0.308772
13.7,2.3246,-0.8155,0.212978,0.278947
13.75,0.6667,-3.6964,0.144759,0.414035
13.8,0.1622,-5.3971,-0.031469,0.412281
13.85,2.0999,-2.9724,-0.054196,0.436842
13.9,2.0057,3.4506,-0.003497,0.385965
13.95,-1.9275,5.8231,0.139767,0.364912
14,-3.682,-1.3258,0.078203,0.324561
14.05,-1.203,-5.0309,0.011647,0.249123
14.1,1.1982,-2.3289,-0.087413,0.285965
14.15,2.1442,-0.3811,0.009983,0.192982
14.2,1.1629,-1.2393,-0.026224,0.140351
14.25,0.3893,-1.4212,-0.131119,0.052632
14.3,1.6527,1.8035,-0.054196,-0.013491
14.35,2.114,3.1901,0.109817,0.031579
14.4,28.8242,-18.4888,0.148087,0.052632
14.45,28.5837,-23.9992,-0.094406,0.115789
14.5,-25.693,12.7894,-0.263986,0.061404
14.55,-24.4723,19.3379,-0.106643,0.136842
14.6,3.1015,3.5137,0.006656,0.077193
14.65,1.3929,0.9948,0.081531,0.02807
14.7,-1.0857,-2.0763,0.013311,-0.042159
14.75,-2.2264,-3.3894,-0.16958,-0.001686
14.8,-0.3718,-0.4043,-0.255245,-0.010118
14.85,2.0118,3.1912,-0.113636,0.04386
14.9,18.3429,-9.092,-0.04021,0.054386
14.95,17.9707,-13.1247,-0.034965,0.085965
15,-14.4322,7.8674,-0.194056,0.02807
15.05,-14.7938,10.8182,-0.236014,-0.033727
15.1,1.4554,2.6907,-0.157343,-0.089376
15.15,0.8633,2.5822,-0.101399,-0.145025
15.2,-0.4384,1.112,-0.132867,-0.112985
15.25,-0.7955,0.5011,-0.171329,-0.096121
15.3,-0.857,-0.05,-0.208042,-0.03204
15.35,-0.178,0.307,-0.337413,-0.006745
15.4,10.3246,-4.4015,-0.256993,-0.057336
15.45,12.044,-4.9215,-0.218531,-0.099494
15.5,-4.9404,7.0444,-0.232517,-0.175379
15.55,-7.0644,8.1019,-0.211538,-0.210793
15.6,-0.4585,2.0716,-0.243007,-0.236088
15.65,-0.8284,1.8994,-0.277972,-0.242833
15.7,-0.6793,2.0495,-0.323427,-0.200675
15.75,0.5794,3.0973,-0.358392,-0.178752
15.8,2.0868,4.2896,-0.244755,-0.145025
15.85,1.249,3.1808,-0.204545,-0.180438
15.9,2.6307,-4.8337,-0.281469,-0.187184
15.95,4.8164,-6.4694,-0.323427,-0.183811
16,1.628,5.1884,-0.332168,-0.172007
16.05,0.7191,7.9485,-0.332168,-0.183811
16.1,2.0288,3.5358,-0.218531,-0.136594
16.15,-0.1497,1.3404,-0.284965,-0.094435
16.2,-0.8595,0.3848,-0.447552,-0.097808
16.25,1.7791,2.451,-0.426573,-0.11973
16.3,2.88,3.3988,-0.354895,-0.124789
16.35,1.9509,2.5983,-0.403846,-0.10118
16.4,-7.2491,10.4222,-0.388112,-0.126476
16.45,-7.5904,9.9922,-0.396853,-0.075885
16.5,10.3796,-6.5648,-0.407343,-0.080944
16.55,11.2917,-5.9372,-0.391608,-0.123103
16.6,2.397,2.465,-0.381119,-0.116358
16.65,1.7817,2.1843,-0.409091,-0.151771
16.7,2.3138,2.4776,-0.440559,-0.129848
16.75,3.3027,2.8113,-0.374126,-0.094435
16.8,2.7024,2.1439,-0.379371,-0.055649
16.85,1.8586,1.4742,-0.417832,-0.080944
16.9,-1.7413,0.2068,-0.444056,-0.112985
16.95,-0.5813,-0.4416,-0.5,-0.118044
17,8.3332,1.5806,-0.482517,-0.104553
17.05,7.6524,2.554,-0.461538,-0.15683
17.1,2.9339,2.1625,-0.522727,-0.161889
17.15,3.5522,2.3416,-0.491259,-0.143339
17.2,3.9427,2.2717,-0.505245,-0.141653
17.25,4.2968,2.253,-0.482517,-0.187184
17.3,4.3692,2.4653,-0.444056,-0.254637
17.35,3.7892,2.6548,-0.451049,-0.284992
17.4,-3.5024,0.645,-0.437063,-0.300169
17.45,-5.1152,-2.3101,-0.461538,-0.342327
17.5,8.003,-0.7896,-0.452797,-0.37774
17.55,10.401,2.6239,-0.388112,-0.408094
17.6,4.7719,3.666,-0.342657,-0.43339
17.65,4.0296,3.5339,-0.298951,-0.37774
17.7,4.031,3.2343,-0.283217,-0.37774
17.75,4.2914,2.9543,-0.178322,-0.338954
17.8,3.2553,2.803,-0.15035,-0.367622
17.85,2.0483,2.8276,-0.125874,-0.369309
17.9,-10.1226,14.6916,-0.124126,-0.428331
17.95,-13.034,11.801,-0.094406,-0.443508
18,7.1501,-14.5618,-0.083916,-0.421585
18.05,9.9107,-11.5232,-0.118881,-0.376054
18.1,1.8695,3.0074,-0.050699,-0.337268
18.15,1.8446,2.672,-0.024476,-0.298482
18.2,1.4862,2.5135,0.011647,-0.340641
18.25,1.2196,2.7072,0.064892,-0.389545
18.3,-0.1454,2.9808,0.078203,-0.359191
18.35,-1.1015,2.9278,0.023295,-0.325464
18.4,-2.9178,37.3148,0.033278,-0.298482
18.45,-2.6548,36.9186,0.028286,-0.261383
18.5,1.7571,-32.6917,0.051581,-0.279933
18.55,1.9438,-32.3895,0.043261,-0.367622
18.6,-0.3913,2.6776,0.063228,-0.311973
18.65,-0.3101,2.6076,0.028286,-0.301855
18.7,0.3648,2.4005,0.084859,-0.281619
18.75,-0.3118,2.3244,0.099834,-0.288364
18.8,-1.3229,2.3091,0.046589,-0.278246
18.85,-0.8266,2.285,0.054908,-0.284992
18.9,1.0309,40.5097,0.049917,-0.311973
18.95,1.116,41.1406,0.043261,-0.322091
19,-1.773,-34.7238,0.024958,-0.271501
19.05,-1.4265,-35.3247,0.001664,-0.3086
19.1,1.0769,2.279,0.063228,-0.249578
19.15,0.0746,2.2876,0.1198,-0.332209
19.2,-2.0604,2.4949,0.016639,-0.322091
19.25,-1.0154,2.5731,-0.008741,-0.300169
19.3,0.8687,2.4115,0.056572,-0.27656
19.35,-0.2285,2.239,0.074875,-0.261383
19.4,-0.5432,28.5573,-0.008741,-0.284992
19.45,1.294,28.0825,-0.043706,-0.305228
19.5,0.3822,-25.0764,0.076539,-0.333895
19.55,-1.6706,-24.4815,0.019967,-0.263069
19.6,-0.7973,2.2806,-0.024476,-0.274874
19.65,1.1645,2.2063,0.046589,-0.283305
19.7,0.2819,2.2907,0.099834,-0.298482
19.75,-1.5247,2.3452,0.001664,-0.288364
19.8,-0.4996,2.3241,0.019967,-0.279933
19.85,0.0124,2.0673,0.053245,-0.180438
19.9,0.0821,25.7522,-0.003497,-0.111298
19.95,0.8554,25.3809,-0.001748,-0.037099
20,0.1243,-23.4154,0.013311,0.022807
20.05,-0.0005,-24.0389,0.049917,0.014035
20.1,0.0936,-0.0171,0.066556,-0.042159
20.15,-1.3504,0.0965,0.053245,0.015789
20.2,-1.5321,0.0022,-0.045455,0.001754
20.25,-0.2274,-0.0463,0.006656,0.003509
20.3,0.3393,0.0414,-0.034965,-0.026981
20.35,0.4966,0.1858,0.021631,-0.038786
20.4,0.9315,24.7029,0.001664,-0.021922
20.45,1.0974,26.9204,-0.005245,0.003509
20.5,-0.6656,-19.8252,0.03827,0.017544
20.55,-1.3327,-22.2583,-0.054196,0.021053
20.6,0.4328,0.022,0.011647,-0.067454
20.65,0.245,0.5073,0.011647,-0.136594
20.7,-0.6174,0.9232,-0.027972,-0.121417
20.75,0.1013,1.0387,-0.022727,-0.136594
20.8,0.6332,1.1589,0.003328,-0.178752
20.85,-0.3217,1.5078,0.008319,-0.25801
20.9,-0.1569,-1.1454,-0.068182,-0.20742
20.95,1.1565,-3.3554,-0.04021,-0.231029
21,0.3924,0.4306,-0.057692,-0.288364
21.05,-0.2203,2.9058,-0.064685,-0.27656
21.1,0.5677,2.0899,-0.076923,-0.197302
21.15,1.1111,1.7876,-0.041958,-0.217538
21.2,0.7584,1.7289,-0.027972,-0.227656
21.25,0.5536,1.7494,-0.045455,-0.198988
21.3,0.3651,1.6651,0.006656,-0.204047
21.35,-0.0521,1.7429,-0.064685,-0.259696
21.4,-0.92,8.5238,-0.006993,-0.214165
21.45,-0.9944,6.6608,-0.057692,-0.244519
